priority,source_id,source_url,evidence_date,revision,payload_selector,inventory_bytes,inventory_scope,budget_bytes,budget_tb,wire_format,content_field,acquisition_shape,admission_status,overlap_family,notes
P2,darwin_cc,https://huggingface.co/datasets/GAIR/Darwin-CC,2026-03-15,13622c0d03b564a0a0a9fd830107ee01aef9554d,train_*.jsonl.gz,1798020028219,exact_payload_inventory,1800000000000,1.80,jsonl_gzip,text_schema_to_verify,hf_gated_content_snapshot,full_decontamination_and_actual_row_preflight,nemotron_academic_cleaned,LLM-cleaned academic/STEM derivative; paper says no benchmark decontamination; not independent broad web
P2,ultrafineweb_l3,https://huggingface.co/datasets/openbmb/Ultra-FineWeb-L3,2026-05_release_2026-08_update,bc3b1ba986fcaef6871b9790a413b16267c2de0f,data/**/*.parquet; retain English and Chinese config identities,1899215913620,exact_four_config_inventory,1910000000000,1.91,parquet,content,hf_content_snapshot,synthetic_parent_and_license_gates,selected_web_synthetic,English 1.258 TB; Chinese 0.641 TB; Apache tag has extra redistribution wording
P2,stack_v3_train,https://huggingface.co/datasets/HuggingFaceCode/stack-v3-train,2026-09-04_optout_revision,8f3f25d86e44fd691428131efd17af75d4716499,data/*.parquet; license-aware candidate selection,3546040375792,exact_whole_train_not_permissive_subset,3550000000000,3.55,parquet,files[].content,hf_content_snapshot,license_projection_pilot_before_full_transfer,github_code,2025-08-07 source cutoff; only159.320B publisher-classified permissive tokens; eligible compressed subset cost unknown
P1,nemotron_cc_code,https://huggingface.co/datasets/nvidia/Nemotron-CC-Code-v1,2025-12,5c5bebce9f9a85c237d63b2afad516ee532f950f,data/*.parquet,563191581141,exact_payload_inventory,570000000000,0.57,parquet,text_publisher_schema,hf_gated_content_snapshot,manual_terms_and_actual_row_preflight,cc_code,Actual code-page crawl cutoff not established; preserve code and math layout
P2,nemotron_pretraining_code_v1_synthetic,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v1,2025-08_release_2025-12_update,01393d3bd890ddc5c15da8a2c9afb57391277659,all Parquet recursively under Synthetic-Code/ including direct children; exclude Nemotron-Code-Metadata,221904198793,exact_synthetic_inventory,230000000000,0.23,parquet,gated_schema_unverified_public_sample_uses_text,hf_gated_content_subset,only_if_incremental_to_v2_and_terms_clear,nemotron_synthetic_code,Do not certify content field from a public representative sample; v2 re-includes v1 QA
P2,nemotron_pretraining_code_v2_synthetic,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v2,2025-12,7b1a453d43e3c0df9749834b04f1a9510c0f5e5b,all Parquet recursively under Synthetic-Code/ including direct children; exclude Nemotron-Code-Metadata,886205205768,exact_synthetic_inventory,900000000000,0.90,parquet,content_publisher_schema,hf_gated_content_subset,manual_terms_parent_and_schema_gates,nemotron_synthetic_code,QA review rewriting student-teacher transpilation; do not count pointer metadata as organic code
P1,ultradata_math,https://huggingface.co/datasets/openbmb/UltraData-Math,2026-02_release_2026-04_update,fe10db8efd35597fd7fcff8ff576b5ec4ea5ff87,data/**/*.parquet; retain L1 L2-preview and L3 formats,552412859233,exact_all_tier_inventory,560000000000,0.56,parquet,content,hf_content_snapshot,tier_parent_and_rights_gates,math_shared_seeds,L2 is selected L1; L3 acknowledges Nemotron MegaMath FineMath seeds; missing per-row parents remain unknown
P1,nemotron_cc_math,https://huggingface.co/datasets/nvidia/Nemotron-CC-Math-v1,2025-08_origin_2026-02_seed_use,397a2502f2028c659ba411a6c4935b464a7f03aa,all Parquet under 3/ and 4plus/ and 4plus_MIND/ including direct children,259937827291,exact_three_config_inventory,260000000000,0.26,parquet,text,hf_gated_content_snapshot,full_family_acquisition_after_terms_and_schema_preflight,math_shared_seeds,Acquire ALL three inline-text configs; 3plus already includes4plus; MIND retained as a labeled derivative; no crawl reconstruction
P2,megamath_content,https://huggingface.co/datasets/IFM/MegaMath,2025-04_origin_2026-02_seed_use,3cbc64616594d6bc8759abaa0b2a71858f880f0d,megamath-qa;megamath-text-code-block;megamath-translated-code;megamath-web;megamath-web-pro;Parquet only,1116311811836,exact_five_content_partition_inventory,1120000000000,1.12,parquet,text,hf_content_subset,conditional_older_seed_family_and_overlap,math_shared_seeds,Exclude megamath-code pointers; selected reported scale approximately343.5B not371.6B
P2,arxiv_latex,https://huggingface.co/datasets/scholarweave/arxiv-latex,2026-08-10,a64471103c2563f6428e61ba7ab28b33417a47a5,arxiv_part_*.parquet,289209988355,exact_published_text_representation,300000000000,0.30,parquet,latex,hf_content_snapshot,per_paper_license_and_fidelity_gates,arxiv_and_scientific_pdfs,CC0 metadata does not clear papers; lossy selected-file extraction is not a byte-exact full archive
P2,nemotron_specialized_v1,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Specialized-v1,2025-12,9ed3718b5f2ae29074c5e34e64115432b7c4320f,admitted configuration Parquet only; STEM-SFT ancestry review before inclusion,350922825780,full_family_before_config_admission,360000000000,0.36,parquet,text,hf_content_subset,per_config_license_genealogy_and_quality,nemotron_specialists,Wiki-Rewrite and Scientific-Coding have CC-BY-SA/GFDL qualifications; complete seed genealogy not assured
P2,nemotron_specialized_v11,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Specialized-v1.1,2026-01_release_2026-03_update,13fa979be2e7f7e62913eee0ec5e97c8fd6e24af,non-Multiple-Choice configuration Parquet after source review,34883344936,full_family_not_approved_subset,40000000000,0.04,parquet,text,hf_content_subset,exclude_MMLU_derived_config_under_current_policy,nemotron_specialists,Most volume is Code-Concepts; no blanket train-split genealogy exemption
P2,nemotron_specialized_v12_fact,https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Specialized-v1.2,2026-05_release_2026-06_update,807afc1fa65c441d46ebc7d9b95295a35499a527,Fact-Seeking configuration objects only,45648373013,exact_Fact_Seeking_config_inventory,50000000000,0.05,parquet,text,hf_content_subset,Finewiki_parent_and_license_gates,wikipedia_synthetic,Do not acquire task-seeded Generative or Multiple-Choice by default
P2,french_science_commons,https://huggingface.co/datasets/PleIAs/French-Science-Commons,2026-06-10,bfa114c09d7c28dcd0a8a47fe445c64b4a3c6156,all Parquet as candidate; admit approved license and terms,37011174392,exact_full_inventory_before_rights_filter,38000000000,0.038,parquet,page_text_schema_to_confirm,hf_content_snapshot,license_terms_and_page_grouping,scientific_pdfs,Group id and order page; HAL deposit permission is not automatic reuse permission
P2,nemotron_sft_math_v4,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Math-v4,2026-05_to_2026-08,84d42ad0cb960f07f951b9baa9ed2b46a5a18c66,data/train-*.parquet,5537896707,exact_payload_inventory,6000000000,0.006,parquet,trajectory_schema_to_confirm,hf_content_snapshot,separate_reasoning_candidate_admission,nemotron_math_derivatives,6.311B reported tokens once is0.126percent of5T; not independent new problem coverage
P2,nemotron_math_v2,https://huggingface.co/datasets/nvidia/Nemotron-Math-v2,2025-12_to_2026-02,8e793210e175b6406c752a870f585f62de98c0d3,data/*.parquet; exclude duplicate JSONL representation,50327144832,exact_parquet_representation,51000000000,0.051,parquet,trajectory_schema_to_confirm,hf_content_subset,rights_genealogy_and_reference_quality,nemotron_math_derivatives,References may be model-majority votes; not independent mathematical proofs
P2,nemotron_lean_proofs_v1,https://huggingface.co/datasets/nvidia/Nemotron-Math-Proofs-v1,2025-12_to_2026-01,97229c590831adfe96202f5cd071d444d535bf91,data/lean.jsonl,29525155225,exact_raw_JSONL_inventory,30000000000,0.030,raw_jsonl,formal_statement_and_proof_messages,hf_content_snapshot,inline_payload_rights_and_nonvacuity_policy,formal_math,Use shipped statements and proofs only; no repository or dependency hydration; replay only with already available approved offline tooling
P2,goedel_sft_v2,https://huggingface.co/datasets/Goedel-LM/SFT_dataset_v2,2026-02_to_2026-03,da71b450f771880ea314a8860532ee26bf494753,data/train-*.parquet,6106217900,exact_payload_inventory,7000000000,0.007,parquet,messages,hf_content_snapshot,inline_formal_payload_and_genealogy,formal_math,Messages-only provenance is limited; quarantine incomplete examples instead of fetching missing code or environments
P2,nemotron_sft_science_v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Science-v2,2026-05_to_2026-06,6536a5021222a94126968e8c92f29ee47fc8a7df,rqa.jsonl;so.jsonl;syn_mcq.jsonl;vendor.jsonl,52685434022,exact_raw_JSONL_inventory,53000000000,0.053,raw_jsonl,trajectory_schema_to_confirm,hf_content_snapshot,rights_genealogy_and_answer_quality,science_reasoning_synthetic,2.838M rows is not trillions of scientific text; preserve vendor and synthetic origins
P2,nemotron_sft_agentic_v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Agentic-v2,2026-03_to_2026-08,7c804833427f633ccd53b582dbf02525fd680f78,three data/*.jsonl files,21860704156,exact_raw_JSONL_inventory,22000000000,0.022,raw_jsonl,trajectory_schema_to_confirm,hf_content_snapshot,separate_tool_candidate_and_genealogy,agentic_synthetic,Card count inconsistencies remain; not automatically admitted into bulk NTP
P2,open_swe_traces,https://huggingface.co/datasets/nvidia/Open-SWE-Traces,2026-06_to_2026-09,1e02268b36de153ab4b18707571c1cedba62cd10,data/**/*.parquet; preserve v1.0 v1.1 v1.2 and harness split mappings,42599555757,exact_all_config_inventory,43000000000,0.043,parquet,messages_and_tools,hf_content_snapshot,shipped_transcripts_only_no_repo_or_image_fetch,swe_rebench_and_scale_swe,All107267 v1.2 rows resolved=-1; keep unknown separate; canonicalize hf_dataset_name; reject examples requiring missing external context
P2,nemotron_sft_cuda,https://huggingface.co/datasets/nvidia/Nemotron-SFT-CUDA-v1,2026-05_to_2026-06,1a06167a6e1e90d928094184173898cbb9bf42de,data/train.jsonl,82831035,exact_raw_JSONL_inventory,100000000,0.0001,raw_jsonl,messages_and_tools,hf_content_snapshot,shipped_code_and_tool_observations_only,nemotron_code_derivatives,2276 trajectories; publisher verification is not local replay; no source or environment downloads to reconstruct examples
P2,nemotron_sft_swe_v3,https://huggingface.co/datasets/nvidia/Nemotron-SFT-SWE-v3,2026-06,3f73de64c1fe928a8f538fe45ccc10c228cc4c6a,data/*.parquet,11677930655,exact_train_inventory,12000000000,0.012,parquet,messages,hf_content_snapshot,parent_task_license_and_quality,swe_related_trajectories,Weaker explicit task provenance than Open-SWE; v3.5 held separately for license clarification
P2,nemotron_exercism_sql,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,2026-03,778afc98a9e027e10b3cd78020c120e93e142ef2,data/exercism.jsonl;data/text_to_sql.jsonl,1861817346,exact_two_raw_JSONL_files,2000000000,0.002,raw_jsonl,inline_question_solution_and_messages,hf_content_subset,parent_license_and_genealogy_gates,synthetic_code_tasks,Do not acquire97GB competitive-programming reasoning by default; dataset train does not exempt ancestry
P2,nemotron_sft_opencode_v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-OpenCode-v1,2026-03,556d5237acff203f3e1a0be49428634c3606cda2,six named-subfamily data.jsonl files,32693541127,exact_raw_JSONL_inventory,33000000000,0.033,raw_jsonl,messages_tools_and_scaffolds,hf_content_snapshot,separate_tool_candidate_and_scaffold_controls,agentic_synthetic,Viewer conversion failure is not empty data; repeated tool scaffolds are not novel knowledge
P3,fineweb_conditional_tail,https://huggingface.co/datasets/HuggingFaceFW/fineweb,2025-07_update_2026_experimental_use,9bb295ddab0e05d785b879661af7260fed5140fc,data/**/*.parquet; deterministic budgeted objects; exclude samples,53417984478442,exact_full_parent_not_selected_subset,16000000000000,16.00,parquet,text,bounded_hf_content_subset,only_for_measured_unfilled_broad_coverage,cc_english,Do not release before comparing Ultra-selected Dolma DCLM and Essential marginal yield
P3,essential_conditional_older_tail,https://huggingface.co/datasets/EssentialAI/essential-web-v1.0,2025-06_release_2025-10_update,ce4eccc7e9604667b6d7f32cb6274b8b41f3113d,data/CC-MAIN-201[3-9]-*/*.parquet;data/CC-MAIN-202[0-2]-*/*.parquet; budgeted objects,65197596478614,exact_older_snapshot_universe_not_selected_subset,18000000000000,18.00,parquet,text,bounded_hf_content_subset,only_for_measured_unfilled_coverage,essential_organic_cc,Physically disjoint from2023-2024 row; may overlap every other web family; not freshness
RESERVE,unspent_transfer_and_pilot_reserve,,,not_a_dataset,no automatic download,,unallocated_capacity,9531900000000,9.5319,not_applicable,not_training_text,unspent_allowance,explicit_reallocation_only,none,Retries small metadata and approved ready-made content gaps only; no CC URL indexes GitHub reconstruction replay-environment or optional membership-sidecar downloads
